PTEV,Gamma,Trajectory,NumAttributes,RuminationFrequency,PTES,W,Proportion
1,0.8,Resilient,4,0,0,4,1
1,0.8,Resilient,4,0,0,8,1
1,0.8,Resilient,4,0,0,12,1
1,0.8,Resilient,4,0,0.25,4,1
1,0.8,Resilient,4,0,0.25,8,1
1,0.8,Resilient,4,0,0.25,12,1
1,0.8,Resilient,4,0,0.5,4,1
1,0.8,Resilient,4,0,0.5,8,1
1,0.8,Resilient,4,0,0.5,12,1
1,0.8,Resilient,4,0,0.75,4,1
1,0.8,Resilient,4,0,0.75,8,1
1,0.8,Resilient,4,0,0.75,12,1
1,0.8,Resilient,4,20,0,4,1
1,0.8,Resilient,4,20,0,8,1
1,0.8,Resilient,4,20,0,12,1
1,0.8,Resilient,4,20,0.25,4,1
1,0.8,Resilient,4,20,0.25,8,1
1,0.8,Resilient,4,20,0.25,12,1
1,0.8,Resilient,4,20,0.5,4,1
1,0.8,Resilient,4,20,0.5,8,1
1,0.8,Resilient,4,20,0.5,12,1
1,0.8,Resilient,4,20,0.75,4,1
1,0.8,Resilient,4,20,0.75,8,1
1,0.8,Resilient,4,20,0.75,12,1
1,0.8,Resilient,6,0,0,4,1
1,0.8,Resilient,6,0,0,8,1
1,0.8,Resilient,6,0,0,12,1
1,0.8,Resilient,6,0,0.25,4,1
1,0.8,Resilient,6,0,0.25,8,1
1,0.8,Resilient,6,0,0.25,12,1
1,0.8,Resilient,6,0,0.5,4,1
1,0.8,Resilient,6,0,0.5,8,1
1,0.8,Resilient,6,0,0.5,12,1
1,0.8,Resilient,6,0,0.75,4,1
1,0.8,Resilient,6,0,0.75,8,1
1,0.8,Resilient,6,0,0.75,12,1
1,0.8,Resilient,6,20,0,4,1
1,0.8,Resilient,6,20,0,8,1
1,0.8,Resilient,6,20,0,12,1
1,0.8,Resilient,6,20,0.25,4,1
1,0.8,Resilient,6,20,0.25,8,1
1,0.8,Resilient,6,20,0.25,12,1
1,0.8,Resilient,6,20,0.5,4,1
1,0.8,Resilient,6,20,0.5,8,1
1,0.8,Resilient,6,20,0.5,12,1
1,0.8,Resilient,6,20,0.75,4,1
1,0.8,Resilient,6,20,0.75,8,1
1,0.8,Resilient,6,20,0.75,12,1
1,0.9,Resilient,4,0,0,4,1
1,0.9,Resilient,4,0,0,8,1
1,0.9,Resilient,4,0,0,12,1
1,0.9,Resilient,4,0,0.25,4,1
1,0.9,Resilient,4,0,0.25,8,1
1,0.9,Resilient,4,0,0.25,12,1
1,0.9,Resilient,4,0,0.5,4,1
1,0.9,Resilient,4,0,0.5,8,1
1,0.9,Resilient,4,0,0.5,12,1
1,0.9,Resilient,4,0,0.75,4,1
1,0.9,Resilient,4,0,0.75,8,1
1,0.9,Resilient,4,0,0.75,12,1
1,0.9,Resilient,4,20,0,4,1
1,0.9,Resilient,4,20,0,8,1
1,0.9,Resilient,4,20,0,12,1
1,0.9,Resilient,4,20,0.25,4,1
1,0.9,Resilient,4,20,0.25,8,1
1,0.9,Resilient,4,20,0.25,12,1
1,0.9,Resilient,4,20,0.5,4,1
1,0.9,Resilient,4,20,0.5,8,1
1,0.9,Resilient,4,20,0.5,12,1
1,0.9,Resilient,4,20,0.75,4,1
1,0.9,Resilient,4,20,0.75,8,1
1,0.9,Resilient,4,20,0.75,12,1
1,0.9,Resilient,6,0,0,4,1
1,0.9,Resilient,6,0,0,8,1
1,0.9,Resilient,6,0,0,12,1
1,0.9,Resilient,6,0,0.25,4,1
1,0.9,Resilient,6,0,0.25,8,1
1,0.9,Resilient,6,0,0.25,12,1
1,0.9,Resilient,6,0,0.5,4,1
1,0.9,Resilient,6,0,0.5,8,1
1,0.9,Resilient,6,0,0.5,12,1
1,0.9,Resilient,6,0,0.75,4,1
1,0.9,Resilient,6,0,0.75,8,1
1,0.9,Resilient,6,0,0.75,12,1
1,0.9,Resilient,6,20,0,4,1
1,0.9,Resilient,6,20,0,8,1
1,0.9,Resilient,6,20,0,12,1
1,0.9,Resilient,6,20,0.25,4,1
1,0.9,Resilient,6,20,0.25,8,1
1,0.9,Resilient,6,20,0.25,12,1
1,0.9,Resilient,6,20,0.5,4,1
1,0.9,Resilient,6,20,0.5,8,1
1,0.9,Resilient,6,20,0.5,12,1
1,0.9,Resilient,6,20,0.75,4,1
1,0.9,Resilient,6,20,0.75,8,1
1,0.9,Resilient,6,20,0.75,12,1
1,0.95,Resilient,4,0,0,4,1
1,0.95,Resilient,4,0,0,8,1
1,0.95,Resilient,4,0,0,12,1
1,0.95,Resilient,4,0,0.25,4,1
1,0.95,Resilient,4,0,0.25,8,1
1,0.95,Resilient,4,0,0.25,12,1
1,0.95,Resilient,4,0,0.5,4,1
1,0.95,Resilient,4,0,0.5,8,1
1,0.95,Resilient,4,0,0.5,12,1
1,0.95,Resilient,4,0,0.75,4,1
1,0.95,Resilient,4,0,0.75,8,1
1,0.95,Resilient,4,0,0.75,12,1
1,0.95,Resilient,4,20,0,4,1
1,0.95,Resilient,4,20,0,8,1
1,0.95,Resilient,4,20,0,12,1
1,0.95,Resilient,4,20,0.25,4,1
1,0.95,Resilient,4,20,0.25,8,1
1,0.95,Resilient,4,20,0.25,12,1
1,0.95,Resilient,4,20,0.5,4,1
1,0.95,Resilient,4,20,0.5,8,1
1,0.95,Resilient,4,20,0.5,12,1
1,0.95,Resilient,4,20,0.75,4,1
1,0.95,Resilient,4,20,0.75,8,1
1,0.95,Resilient,4,20,0.75,12,1
1,0.95,Resilient,6,0,0,4,1
1,0.95,Resilient,6,0,0,8,1
1,0.95,Resilient,6,0,0,12,1
1,0.95,Resilient,6,0,0.25,4,1
1,0.95,Resilient,6,0,0.25,8,1
1,0.95,Resilient,6,0,0.25,12,1
1,0.95,Resilient,6,0,0.5,4,1
1,0.95,Resilient,6,0,0.5,8,1
1,0.95,Resilient,6,0,0.5,12,1
1,0.95,Resilient,6,0,0.75,4,1
1,0.95,Resilient,6,0,0.75,8,1
1,0.95,Resilient,6,0,0.75,12,1
1,0.95,Resilient,6,20,0,4,1
1,0.95,Resilient,6,20,0,8,1
1,0.95,Resilient,6,20,0,12,1
1,0.95,Resilient,6,20,0.25,4,1
1,0.95,Resilient,6,20,0.25,8,1
1,0.95,Resilient,6,20,0.25,12,1
1,0.95,Resilient,6,20,0.5,4,1
1,0.95,Resilient,6,20,0.5,8,1
1,0.95,Resilient,6,20,0.5,12,1
1,0.95,Resilient,6,20,0.75,4,1
1,0.95,Resilient,6,20,0.75,8,1
1,0.95,Resilient,6,20,0.75,12,1
20,0.8,Chronic,4,0,0.25,4,0.1
20,0.8,Chronic,4,0,0.5,4,0.32
20,0.8,Chronic,4,0,0.75,4,0.54
20,0.8,Chronic,4,0,0.75,8,0.4
20,0.8,Chronic,4,0,0.75,12,0.02
20,0.8,Chronic,4,20,0,4,0.08
20,0.8,Chronic,4,20,0,8,0.02
20,0.8,Chronic,4,20,0.25,4,0.12
20,0.8,Chronic,4,20,0.25,8,0.06
20,0.8,Chronic,4,20,0.5,4,0.3
20,0.8,Chronic,4,20,0.5,8,0.1
20,0.8,Chronic,4,20,0.5,12,0.04
20,0.8,Chronic,4,20,0.75,4,0.7
20,0.8,Chronic,4,20,0.75,8,0.38
20,0.8,Chronic,4,20,0.75,12,0.02
20,0.8,Chronic,6,0,0.25,4,0.1
20,0.8,Chronic,6,0,0.5,4,0.18
20,0.8,Chronic,6,0,0.5,8,0.24
20,0.8,Chronic,6,0,0.75,4,0.14
20,0.8,Chronic,6,0,0.75,8,0.5
20,0.8,Chronic,6,0,0.75,12,0.14
20,0.8,Chronic,6,20,0,4,0.06
20,0.8,Chronic,6,20,0,8,0.06
20,0.8,Chronic,6,20,0,12,0.02
20,0.8,Chronic,6,20,0.25,4,0.12
20,0.8,Chronic,6,20,0.25,8,0.08
20,0.8,Chronic,6,20,0.25,12,0.04
20,0.8,Chronic,6,20,0.5,4,0.14
20,0.8,Chronic,6,20,0.5,8,0.26
20,0.8,Chronic,6,20,0.5,12,0.02
20,0.8,Chronic,6,20,0.75,4,0.36
20,0.8,Chronic,6,20,0.75,8,0.52
20,0.8,Chronic,6,20,0.75,12,0.36
20,0.8,Delayed,4,0,0.75,4,0.1
20,0.8,Delayed,4,0,0.75,8,0.02
20,0.8,Delayed,4,20,0.5,4,0.04
20,0.8,Delayed,4,20,0.75,4,0.04
20,0.8,Delayed,4,20,0.75,8,0.04
20,0.8,Delayed,6,0,0.75,4,0.02
20,0.8,Delayed,6,0,0.75,8,0.02
20,0.8,Delayed,6,20,0.25,4,0.02
20,0.8,Delayed,6,20,0.5,4,0.02
20,0.8,Delayed,6,20,0.75,4,0.06
20,0.8,Delayed,6,20,0.75,8,0.06
20,0.8,Recovery,4,0,0,4,0.02
20,0.8,Recovery,4,0,0.25,4,0.04
20,0.8,Recovery,4,0,0.5,4,0.24
20,0.8,Recovery,4,0,0.5,8,0.02
20,0.8,Recovery,4,0,0.75,4,0.18
20,0.8,Recovery,4,0,0.75,8,0.2
20,0.8,Recovery,4,0,0.75,12,0.02
20,0.8,Recovery,4,20,0,8,0.02
20,0.8,Recovery,4,20,0,12,0.02
20,0.8,Recovery,4,20,0.25,4,0.14
20,0.8,Recovery,4,20,0.25,12,0.04
20,0.8,Recovery,4,20,0.5,4,0.26
20,0.8,Recovery,4,20,0.5,8,0.1
20,0.8,Recovery,4,20,0.5,12,0.04
20,0.8,Recovery,4,20,0.75,4,0.18
20,0.8,Recovery,4,20,0.75,8,0.36
20,0.8,Recovery,4,20,0.75,12,0.04
20,0.8,Recovery,6,0,0.25,4,0.04
20,0.8,Recovery,6,0,0.5,4,0.1
20,0.8,Recovery,6,0,0.5,8,0.18
20,0.8,Recovery,6,0,0.5,12,0.02
20,0.8,Recovery,6,0,0.75,4,0.2
20,0.8,Recovery,6,0,0.75,8,0.34
20,0.8,Recovery,6,0,0.75,12,0.12
20,0.8,Recovery,6,20,0,4,0.02
20,0.8,Recovery,6,20,0,8,0.02
20,0.8,Recovery,6,20,0,12,0.02
20,0.8,Recovery,6,20,0.25,4,0.24
20,0.8,Recovery,6,20,0.25,8,0.12
20,0.8,Recovery,6,20,0.5,4,0.24
20,0.8,Recovery,6,20,0.5,8,0.22
20,0.8,Recovery,6,20,0.5,12,0.08
20,0.8,Recovery,6,20,0.75,4,0.16
20,0.8,Recovery,6,20,0.75,8,0.32
20,0.8,Recovery,6,20,0.75,12,0.16
20,0.8,Resilient,4,0,0,4,0.98
20,0.8,Resilient,4,0,0,8,1
20,0.8,Resilient,4,0,0,12,1
20,0.8,Resilient,4,0,0.25,4,0.86
20,0.8,Resilient,4,0,0.25,8,1
20,0.8,Resilient,4,0,0.25,12,1
20,0.8,Resilient,4,0,0.5,4,0.44
20,0.8,Resilient,4,0,0.5,8,0.98
20,0.8,Resilient,4,0,0.5,12,1
20,0.8,Resilient,4,0,0.75,4,0.18
20,0.8,Resilient,4,0,0.75,8,0.38
20,0.8,Resilient,4,0,0.75,12,0.96
20,0.8,Resilient,4,20,0,4,0.92
20,0.8,Resilient,4,20,0,8,0.96
20,0.8,Resilient,4,20,0,12,0.98
20,0.8,Resilient,4,20,0.25,4,0.74
20,0.8,Resilient,4,20,0.25,8,0.94
20,0.8,Resilient,4,20,0.25,12,0.96
20,0.8,Resilient,4,20,0.5,4,0.4
20,0.8,Resilient,4,20,0.5,8,0.8
20,0.8,Resilient,4,20,0.5,12,0.92
20,0.8,Resilient,4,20,0.75,4,0.08
20,0.8,Resilient,4,20,0.75,8,0.22
20,0.8,Resilient,4,20,0.75,12,0.94
20,0.8,Resilient,6,0,0,4,1
20,0.8,Resilient,6,0,0,8,1
20,0.8,Resilient,6,0,0,12,1
20,0.8,Resilient,6,0,0.25,4,0.86
20,0.8,Resilient,6,0,0.25,8,1
20,0.8,Resilient,6,0,0.25,12,1
20,0.8,Resilient,6,0,0.5,4,0.72
20,0.8,Resilient,6,0,0.5,8,0.58
20,0.8,Resilient,6,0,0.5,12,0.98
20,0.8,Resilient,6,0,0.75,4,0.64
20,0.8,Resilient,6,0,0.75,8,0.14
20,0.8,Resilient,6,0,0.75,12,0.74
20,0.8,Resilient,6,20,0,4,0.92
20,0.8,Resilient,6,20,0,8,0.92
20,0.8,Resilient,6,20,0,12,0.96
20,0.8,Resilient,6,20,0.25,4,0.62
20,0.8,Resilient,6,20,0.25,8,0.8
20,0.8,Resilient,6,20,0.25,12,0.96
20,0.8,Resilient,6,20,0.5,4,0.6
20,0.8,Resilient,6,20,0.5,8,0.52
20,0.8,Resilient,6,20,0.5,12,0.9
20,0.8,Resilient,6,20,0.75,4,0.42
20,0.8,Resilient,6,20,0.75,8,0.1
20,0.8,Resilient,6,20,0.75,12,0.48
20,0.9,Chronic,4,0,0,4,0.04
20,0.9,Chronic,4,0,0.25,4,0.24
20,0.9,Chronic,4,0,0.5,4,0.56
20,0.9,Chronic,4,0,0.5,8,0.04
20,0.9,Chronic,4,0,0.75,4,0.7
20,0.9,Chronic,4,0,0.75,8,0.46
20,0.9,Chronic,4,0,0.75,12,0.08
20,0.9,Chronic,4,20,0,4,0.22
20,0.9,Chronic,4,20,0,8,0.08
20,0.9,Chronic,4,20,0,12,0.02
20,0.9,Chronic,4,20,0.25,4,0.38
20,0.9,Chronic,4,20,0.25,8,0.12
20,0.9,Chronic,4,20,0.25,12,0.06
20,0.9,Chronic,4,20,0.5,4,0.74
20,0.9,Chronic,4,20,0.5,8,0.3
20,0.9,Chronic,4,20,0.5,12,0.1
20,0.9,Chronic,4,20,0.75,4,0.42
20,0.9,Chronic,4,20,0.75,8,0.62
20,0.9,Chronic,4,20,0.75,12,0.3
20,0.9,Chronic,6,0,0.25,4,0.14
20,0.9,Chronic,6,0,0.25,8,0.02
20,0.9,Chronic,6,0,0.5,4,0.3
20,0.9,Chronic,6,0,0.5,8,0.4
20,0.9,Chronic,6,0,0.5,12,0.02
20,0.9,Chronic,6,0,0.75,4,0.64
20,0.9,Chronic,6,0,0.75,8,0.62
20,0.9,Chronic,6,0,0.75,12,0.34
20,0.9,Chronic,6,20,0,4,0.2
20,0.9,Chronic,6,20,0,8,0.12
20,0.9,Chronic,6,20,0,12,0.1
20,0.9,Chronic,6,20,0.25,4,0.34
20,0.9,Chronic,6,20,0.25,8,0.18
20,0.9,Chronic,6,20,0.25,12,0.02
20,0.9,Chronic,6,20,0.5,4,0.42
20,0.9,Chronic,6,20,0.5,8,0.46
20,0.9,Chronic,6,20,0.5,12,0.18
20,0.9,Chronic,6,20,0.75,4,0.62
20,0.9,Chronic,6,20,0.75,8,0.64
20,0.9,Chronic,6,20,0.75,12,0.38
20,0.9,Delayed,4,0,0.25,4,0.02
20,0.9,Delayed,4,0,0.5,4,0.2
20,0.9,Delayed,4,0,0.75,4,0.28
20,0.9,Delayed,4,0,0.75,8,0.24
20,0.9,Delayed,4,20,0,4,0.02
20,0.9,Delayed,4,20,0,8,0.02
20,0.9,Delayed,4,20,0.25,4,0.22
20,0.9,Delayed,4,20,0.5,4,0.22
20,0.9,Delayed,4,20,0.5,8,0.06
20,0.9,Delayed,4,20,0.75,4,0.56
20,0.9,Delayed,4,20,0.75,8,0.2
20,0.9,Delayed,4,20,0.75,12,0.04
20,0.9,Delayed,6,0,0.5,4,0.08
20,0.9,Delayed,6,0,0.5,8,0.02
20,0.9,Delayed,6,0,0.75,4,0.18
20,0.9,Delayed,6,0,0.75,8,0.08
20,0.9,Delayed,6,0,0.75,12,0.02
20,0.9,Delayed,6,20,0,4,0.02
20,0.9,Delayed,6,20,0,12,0.02
20,0.9,Delayed,6,20,0.25,4,0.12
20,0.9,Delayed,6,20,0.25,8,0.02
20,0.9,Delayed,6,20,0.5,4,0.26
20,0.9,Delayed,6,20,0.5,8,0.24
20,0.9,Delayed,6,20,0.75,4,0.32
20,0.9,Delayed,6,20,0.75,8,0.2
20,0.9,Delayed,6,20,0.75,12,0.1
20,0.9,Recovery,4,0,0.25,4,0.04
20,0.9,Recovery,4,0,0.5,4,0.06
20,0.9,Recovery,4,0,0.75,4,0.02
20,0.9,Recovery,4,0,0.75,8,0.12
20,0.9,Recovery,4,0,0.75,12,0.04
20,0.9,Recovery,4,20,0,4,0.16
20,0.9,Recovery,4,20,0,8,0.16
20,0.9,Recovery,4,20,0,12,0.08
20,0.9,Recovery,4,20,0.25,4,0.14
20,0.9,Recovery,4,20,0.25,12,0.02
20,0.9,Recovery,4,20,0.5,8,0.14
20,0.9,Recovery,4,20,0.5,12,0.06
20,0.9,Recovery,4,20,0.75,8,0.16
20,0.9,Recovery,4,20,0.75,12,0.1
20,0.9,Recovery,6,0,0,4,0.04
20,0.9,Recovery,6,0,0.25,4,0.06
20,0.9,Recovery,6,0,0.25,8,0.04
20,0.9,Recovery,6,0,0.5,4,0.1
20,0.9,Recovery,6,0,0.5,8,0.02
20,0.9,Recovery,6,0,0.75,4,0.04
20,0.9,Recovery,6,0,0.75,8,0.28
20,0.9,Recovery,6,0,0.75,12,0.12
20,0.9,Recovery,6,20,0,4,0.1
20,0.9,Recovery,6,20,0,8,0.06
20,0.9,Recovery,6,20,0,12,0.08
20,0.9,Recovery,6,20,0.25,4,0.16
20,0.9,Recovery,6,20,0.25,8,0.1
20,0.9,Recovery,6,20,0.25,12,0.04
20,0.9,Recovery,6,20,0.5,4,0.04
20,0.9,Recovery,6,20,0.5,8,0.1
20,0.9,Recovery,6,20,0.5,12,0.1
20,0.9,Recovery,6,20,0.75,8,0.16
20,0.9,Recovery,6,20,0.75,12,0.14
20,0.9,Resilient,4,0,0,4,0.96
20,0.9,Resilient,4,0,0,8,1
20,0.9,Resilient,4,0,0,12,1
20,0.9,Resilient,4,0,0.25,4,0.7
20,0.9,Resilient,4,0,0.25,8,1
20,0.9,Resilient,4,0,0.25,12,1
20,0.9,Resilient,4,0,0.5,4,0.18
20,0.9,Resilient,4,0,0.5,8,0.96
20,0.9,Resilient,4,0,0.5,12,1
20,0.9,Resilient,4,0,0.75,8,0.18
20,0.9,Resilient,4,0,0.75,12,0.88
20,0.9,Resilient,4,20,0,4,0.6
20,0.9,Resilient,4,20,0,8,0.74
20,0.9,Resilient,4,20,0,12,0.9
20,0.9,Resilient,4,20,0.25,4,0.26
20,0.9,Resilient,4,20,0.25,8,0.88
20,0.9,Resilient,4,20,0.25,12,0.92
20,0.9,Resilient,4,20,0.5,4,0.04
20,0.9,Resilient,4,20,0.5,8,0.5
20,0.9,Resilient,4,20,0.5,12,0.84
20,0.9,Resilient,4,20,0.75,4,0.02
20,0.9,Resilient,4,20,0.75,8,0.02
20,0.9,Resilient,4,20,0.75,12,0.56
20,0.9,Resilient,6,0,0,4,0.96
20,0.9,Resilient,6,0,0,8,1
20,0.9,Resilient,6,0,0,12,1
20,0.9,Resilient,6,0,0.25,4,0.8
20,0.9,Resilient,6,0,0.25,8,0.94
20,0.9,Resilient,6,0,0.25,12,1
20,0.9,Resilient,6,0,0.5,4,0.52
20,0.9,Resilient,6,0,0.5,8,0.56
20,0.9,Resilient,6,0,0.5,12,0.98
20,0.9,Resilient,6,0,0.75,4,0.14
20,0.9,Resilient,6,0,0.75,8,0.02
20,0.9,Resilient,6,0,0.75,12,0.52
20,0.9,Resilient,6,20,0,4,0.68
20,0.9,Resilient,6,20,0,8,0.82
20,0.9,Resilient,6,20,0,12,0.8
20,0.9,Resilient,6,20,0.25,4,0.38
20,0.9,Resilient,6,20,0.25,8,0.7
20,0.9,Resilient,6,20,0.25,12,0.94
20,0.9,Resilient,6,20,0.5,4,0.28
20,0.9,Resilient,6,20,0.5,8,0.2
20,0.9,Resilient,6,20,0.5,12,0.72
20,0.9,Resilient,6,20,0.75,4,0.06
20,0.9,Resilient,6,20,0.75,12,0.38
20,0.95,Chronic,4,0,0,4,0.12
20,0.95,Chronic,4,0,0.25,4,0.24
20,0.95,Chronic,4,0,0.5,4,0.28
20,0.95,Chronic,4,0,0.5,8,0.1
20,0.95,Chronic,4,0,0.75,4,0.64
20,0.95,Chronic,4,0,0.75,8,0.46
20,0.95,Chronic,4,0,0.75,12,0.18
20,0.95,Chronic,4,20,0,4,0.14
20,0.95,Chronic,4,20,0,8,0.1
20,0.95,Chronic,4,20,0,12,0.1
20,0.95,Chronic,4,20,0.25,4,0.32
20,0.95,Chronic,4,20,0.25,8,0.22
20,0.95,Chronic,4,20,0.25,12,0.14
20,0.95,Chronic,4,20,0.5,4,0.26
20,0.95,Chronic,4,20,0.5,8,0.26
20,0.95,Chronic,4,20,0.5,12,0.04
20,0.95,Chronic,4,20,0.75,4,0.42
20,0.95,Chronic,4,20,0.75,8,0.4
20,0.95,Chronic,4,20,0.75,12,0.28
20,0.95,Chronic,6,0,0,4,0.08
20,0.95,Chronic,6,0,0.25,4,0.18
20,0.95,Chronic,6,0,0.25,8,0.04
20,0.95,Chronic,6,0,0.5,4,0.3
20,0.95,Chronic,6,0,0.5,8,0.36
20,0.95,Chronic,6,0,0.5,12,0.02
20,0.95,Chronic,6,0,0.75,4,0.46
20,0.95,Chronic,6,0,0.75,8,0.62
20,0.95,Chronic,6,0,0.75,12,0.42
20,0.95,Chronic,6,20,0,4,0.16
20,0.95,Chronic,6,20,0,8,0.14
